x,y
4450.1,6477.6
9457.3,13036
11383,6320.2
12178,10980
9983.4,6022.4
6032.5,2174.8
11569,8723.7
13236,9512.3
11485,14528
6931.6,9070.5
12272,5075.2
4543.3,6658.4
5362.2,2050.5
13005,8780.7
13313,5243.9
7023.8,4090.3
3787.3,154.36
11191,13183
5151,2198.2
4789.8,4431.9
281.17,2606
8635.1,684.77
6378.1,9879
7793.8,11114
5997.3,4058.1
11594,7630.3
1820.5,640.22
6373.8,5235.2
9351.1,4312.3
13284,1161.2
14438,9781.8
3632.2,13749
1240.2,9452.1
9086.8,4630.8
11471,12134
1666.1,11412
13046,6777.8
334.6,4801.2
4860.8,5866.8
7722.9,9411.5
2178.1,6168
2392.4,14169
12384,9046.4
2473.6,7834.3
13396,6399.7
13692,969.95
3708,1567.8
9113.2,1199
14291,4410
2377.8,1511.6
2769.8,7923.5
9207.9,13556
14169,4230.4
12953,2011
7506.9,6127
12978,3025.2
5648.6,12808
14906,5708.2
9734.8,6211.5
7116.4,6150.8
10354,13905
3082.1,13408
12041,3121.5
5495.6,14695
1082.3,6333.2
13307,12869
11738,11488
1817.8,9368.4
2202.3,14632
10212,13515
10519,1344.5
6968.1,6065.7
3314.2,6255
12108,5984.1
10952,3908.5
1081.7,11024
7932.8,8017.4
4545.3,13617
9805.9,8112.6
11414,4014.1
1469,1512.7
13681,13959
10888,8856.3
5196.2,10221
11666,14748
2541.9,13348
13376,5347.9
12374,9026.9
8153.7,11579
4454.5,8174.5
7034.9,7459.7
9997.9,1715.4
1528.9,3451.8
8805.8,13786
1311.3,7863
7145.6,6596.1
12453,10297
851.13,12927
8266.4,83.469
11231,13106
7151.9,550.9
6038.4,3885.7
9183.8,12735
3736.3,8623
2437.1,88.785
7188.4,6927
14640,9059.8
8423.7,12610
5025.9,2559.7
46.571,7385.9
10565,12312
7353.5,646.2
6458.5,13453
11282,3997.9
2752.3,4801.4
8584.9,5760.2
14584,7760.7
4854.6,8402.9
728.29,11820
3785.7,14285
3176.3,1520
13310,7086.9
11832,14400
1263.6,10018
5518,11468
6396.8,6721
1438.7,6955.1
1111.5,14860
13287,9893.6
2912.8,3038.6
10525,11190
7479,690.88
5878.9,12990
2783,7655.3
3062.8,10859
9738.7,11742
10499,10962
13755,2419.1
4203.8,2418.8
14324,3322.7
13408,11813
14276,8670.5
7706.7,3298.3
2590.4,13901
13453,10355
13575,11596
12402,13788
2791.9,14868
12210,1834.8
1452.7,5248.3
14728,9149.9
11922,8808.2
1163,11765
10835,9655.8
7054.1,10030
5835.4,6959.5
3950,3570.2
6785.2,9811
5161.7,9348.2
12133,14137
3004,6049.2
5407.5,6633.7
11369,4482.7
11322,2234.7
4867.5,1605.6
3345.2,6289.9
1333.2,3358.4
305.97,122.32
581.73,10063
2365.8,1385.8
336.17,11236
13842,13917
