x,y
2929.7,3034.1
14135,10146
14080,2721.9
8811,7686
10418,11715
14487,8745.1
7044,3192.4
8981.3,7224.6
5764.1,11214
2598.1,12375
7489.1,11336
417.11,4820.7
6852.5,8594.2
9526.2,8613.8
6429,11687
6162.6,9553.9
8369.7,13128
12833,8118.4
2013.2,396.71
9746.2,14564
9625.2,8603.9
7631.5,14740
13269,10382
11396,7897.2
8459.7,8621.8
14024,3978.1
5240.5,8996.6
8809,13696
6394.2,13713
8317.5,14365
3555.1,1900.9
5009.5,12331
13171,10966
727.96,4459.4
5902.4,9494.9
5794.1,9950.7
3256.8,196.51
13939,9353.6
3742.7,6142.4
10155,10976
13192,2055.5
5008.8,8938.6
3516.6,14149
5215.3,9390.3
10628,4457.1
8570.7,11113
12274,9070.9
2734.8,13490
1655.4,4636.2
4158.4,10254
9304.4,8043.6
7585.5,1504.6
1653.1,5437.1
2664.2,10176
14923,10964
12918,14386
3208,1874.7
9220.2,9940
1670.2,12723
14923,7205.4
13686,14708
2931.6,6954.6
7185,11540
5008.5,2554.2
373.14,2016.3
133.59,14323
5066.6,8772.8
1847,2342.1
4580.5,13587
10617,5949.5
13732,5231.7
